timestamp,open,high,low,close,volume
2021-11-12 18:25:00,2972.5100,2972.5100,2970.0000,2970.0000,635
2021-11-12 17:45:00,2973.5600,2973.5600,2973.5600,2973.5600,953
2021-11-12 17:00:00,2974.6500,2974.6500,2974.6500,2974.6500,111
2021-11-12 16:50:00,2973.5600,2973.5600,2973.5600,2973.5600,1496
2021-11-12 16:30:00,2975.3300,2975.3300,2975.3300,2975.3300,177
2021-11-12 16:25:00,2972.5100,2972.5100,2972.5100,2972.5100,105
2021-11-12 16:20:00,2973.5200,2973.5600,2973.5200,2973.5600,329
2021-11-12 16:10:00,2973.5600,2973.5600,2973.5600,2973.5600,4991
2021-11-12 16:05:00,2973.5600,2973.5600,2973.5600,2973.5600,36878
2021-11-12 16:00:00,2972.0200,2977.0000,2970.7700,2974.2400,61893
2021-11-12 15:55:00,2972.0000,2973.9600,2971.5450,2972.9100,25549
2021-11-12 15:50:00,2972.9400,2973.1600,2971.0850,2971.4050,15340
2021-11-12 15:45:00,2975.5000,2976.0700,2973.0000,2973.3700,24141
2021-11-12 15:40:00,2975.0000,2976.4900,2973.7300,2975.9500,16547
2021-11-12 15:35:00,2973.9900,2976.4250,2972.1800,2975.0000,24742
2021-11-12 15:30:00,2974.0900,2974.5300,2972.6700,2973.0500,5939
2021-11-12 15:25:00,2972.6600,2974.4600,2972.3000,2973.0300,7776
2021-11-12 15:20:00,2970.4300,2972.0650,2970.0200,2971.5000,9831
2021-11-12 15:15:00,2968.7400,2970.1300,2968.6900,2969.5100,6176
2021-11-12 15:10:00,2969.2100,2970.1400,2967.6500,2969.4400,12110
2021-11-12 15:05:00,2968.1400,2968.9500,2968.1400,2968.4700,4409
2021-11-12 15:00:00,2968.4700,2969.0750,2968.3500,2968.3500,3553
2021-11-12 14:55:00,2967.5400,2969.4800,2967.3700,2968.9700,8647
2021-11-12 14:50:00,2965.5000,2966.6000,2965.0000,2966.6000,2930
2021-11-12 14:45:00,2964.7200,2967.9100,2964.3400,2964.6800,8714
2021-11-12 14:40:00,2963.6600,2965.2800,2963.1400,2965.2800,3410
2021-11-12 14:35:00,2965.2000,2966.1800,2964.0100,2964.1600,16010
2021-11-12 14:30:00,2967.1900,2967.1900,2964.4000,2964.6950,6355
2021-11-12 14:25:00,2968.4500,2968.4500,2967.3100,2967.3200,2267
2021-11-12 14:20:00,2966.6300,2970.0000,2966.4800,2969.3100,3664
2021-11-12 14:15:00,2966.2900,2967.7200,2966.2900,2967.2400,3732
2021-11-12 14:10:00,2967.7600,2967.7600,2966.1400,2966.1400,1221
2021-11-12 14:05:00,2971.2400,2971.6100,2970.0200,2970.0200,4720
2021-11-12 14:00:00,2968.7550,2971.3700,2968.6600,2971.3700,4991
2021-11-12 13:55:00,2967.6900,2970.4900,2966.2300,2969.3199,9438
2021-11-12 13:50:00,2970.1625,2970.1625,2968.2200,2968.2200,3672
2021-11-12 13:45:00,2968.0000,2969.9900,2968.0000,2969.8000,9395
2021-11-12 13:40:00,2965.0000,2966.9000,2964.8500,2966.9000,3447
2021-11-12 13:35:00,2963.0000,2966.0800,2963.0000,2966.0800,6568
2021-11-12 13:30:00,2962.2700,2962.6800,2961.5400,2962.4100,3192
2021-11-12 13:25:00,2962.9600,2964.3550,2961.5900,2961.7400,3727
2021-11-12 13:20:00,2965.4300,2965.4300,2962.4200,2963.9900,3447
2021-11-12 13:15:00,2965.9686,2967.7950,2965.5200,2965.5400,5438
2021-11-12 13:10:00,2963.5350,2967.0000,2963.5300,2967.0000,7145
2021-11-12 13:05:00,2963.3600,2964.5500,2961.9200,2963.7250,9824
2021-11-12 13:00:00,2966.1700,2966.2450,2961.6100,2963.2100,5895
2021-11-12 12:55:00,2963.9100,2964.7500,2962.9200,2964.7500,3770
2021-11-12 12:50:00,2973.9350,2973.9350,2963.5361,2965.3600,17358
2021-11-12 12:45:00,2970.3600,2975.9956,2969.5000,2974.1600,17666
2021-11-12 12:40:00,2970.1499,2971.6875,2968.6100,2970.9250,4985
2021-11-12 12:35:00,2969.3400,2971.1700,2969.3400,2970.1344,8389
2021-11-12 12:30:00,2968.9800,2968.9800,2966.2400,2968.8900,6051
2021-11-12 12:25:00,2968.3800,2969.0000,2966.5300,2968.1400,10736
2021-11-12 12:20:00,2963.8400,2968.5600,2963.6550,2968.0600,13249
2021-11-12 12:15:00,2957.8350,2964.6300,2956.5883,2963.7750,15896
2021-11-12 12:10:00,2957.5100,2959.7500,2956.8200,2958.8968,8348
2021-11-12 12:05:00,2957.5000,2959.0000,2956.5199,2957.8400,8382
2021-11-12 12:00:00,2956.5800,2958.9900,2956.5700,2956.6700,12334
2021-11-12 11:55:00,2949.6500,2957.3042,2948.4100,2957.3042,18666
2021-11-12 11:50:00,2949.9200,2950.2400,2945.6650,2948.5300,11284
2021-11-12 11:45:00,2953.9200,2954.6000,2950.2600,2950.6200,7535
2021-11-12 11:40:00,2953.4100,2954.1300,2951.5900,2952.6100,4993
2021-11-12 11:35:00,2953.9200,2956.2750,2953.9200,2955.8600,8211
2021-11-12 11:30:00,2949.8900,2954.2000,2949.6600,2954.2000,9872
2021-11-12 11:25:00,2950.8900,2953.3010,2950.2100,2951.1850,11650
2021-11-12 11:20:00,2946.2400,2951.3100,2945.8450,2951.0400,24486
2021-11-12 11:15:00,2943.7800,2945.2600,2941.3200,2945.2600,7966
2021-11-12 11:10:00,2944.8500,2944.8500,2939.6900,2943.7800,9154
2021-11-12 11:05:00,2939.1700,2944.0000,2938.0000,2943.9500,16280
2021-11-12 11:00:00,2939.0000,2939.0000,2935.0000,2937.7600,4377
2021-11-12 10:55:00,2937.5000,2942.0000,2936.1300,2941.9200,8861
2021-11-12 10:50:00,2931.6200,2940.0000,2930.7550,2938.6614,9432
2021-11-12 10:45:00,2928.9400,2931.9700,2928.9400,2931.4800,6490
2021-11-12 10:40:00,2927.7600,2931.2699,2927.6300,2928.0000,7602
